Speed_S	Speed_F	Relative_Direction	Distance	Collision
0.12172824	0.042491749	0.989562537	0.990566038	0
0.243331246	0.274958746	0.98711954	0.987276246	0
0.243331246	0.042491749	0.985709782	0.985341074	0
0.243331246	0	0.984597737	0.982051282	0
0.12172824	0.042491749	0.983730868	0.97876149	0
0.243331246	0.042491749	0.982294841	0.97605225	0
0.268378209	0.042491749	0.980499807	0.974117078	0
0.188102693	0.042491749	0.979273931	0.970827286	0
0.243456481	0.042491749	0.977820392	0.967876149	0
0.243456481	0.272070957	0.97562257	0.966328012	0
0.12172824	0.042388614	0.974729432	0.96303822	0
0.37658109	0.021245875	0.972715492	0.960328979	0
0.121853475	0.272689769	0.970937971	0.958393807	0
0.243706951	0.042285479	0.96944065	0.956119981	0
0.243706951	0.042285479	0.967934573	0.954475085	0
0.376956794	0.280012376	0.966603622	0.951185293	0
0.12197871	0.063634488	0.965526602	0.947895501	0
0.243832185	0.084777228	0.963679031	0.944992743	0
0.243832185	0.280115512	0.963022311	0.942767296	0
0.243832185	0.063737624	0.96131484	0.938896952	0
0.12197871	0.084983498	0.960053939	0.935268505	0
0.243832185	0.28609736	0.959204581	0.931688437	0
0.243832185	0.063840759	0.957470842	0.929172714	0
0.449467752	0.063840759	0.95642009	0.925253991	0
0.243706951	0.085086634	0.954502469	0.921673924	0
0.121853475	0.042491749	0.953530524	0.917368166	0
0.365560426	0.085086634	0.950947427	0.913497823	0
0.121853475	0.042491749	0.949975482	0.911562651	0
0.243706951	0.286406766	0.949047319	0.906337687	0
0.448716343	0.042594884	0.948110399	0.904402516	0
0.243456481	0.085189769	0.946122728	0.900483793	0
0.243456481	0.063943894	0.944292669	0.896516691	0
0.448215404	0.063943894	0.943163112	0.892646347	0
0.243331246	0.042594884	0.941473153	0.88906628	0
0.12172824	0.085189769	0.940124689	0.884808902	0
0.243331246	0.274546205	0.93738398	0.88151911	0
0.243331246	0.085086634	0.935326258	0.879003387	0
0.243331246	0.272070957	0.932900774	0.875761974	0
0.243331246	0.084983498	0.93082554	0.87189163	0
0.243331246	0.042491749	0.929065532	0.869279149	0
0.243331246	0.283312706	0.925939547	0.865408805	0
0.447088291	0.042388614	0.924880039	0.862119013	0
0.243206011	0.286819307	0.92377675	0.858345428	0
0.303944897	0.063737624	0.921438829	0.854426705	0
0.489542893	0.063737624	0.919801408	0.850459603	0
0.242955542	0.084983498	0.917629855	0.846202225	0
0.242955542	0.084983498	0.91544079	0.841315917	0
0.303694427	0.084983498	0.912857693	0.837445573	0
0.303694427	0.042491749	0.910598578	0.83357523	0
0.242955542	0.084983498	0.908356975	0.829027576	0
0.242955542	0.084983498	0.906106616	0.825060474	0
0.242955542	0.042491749	0.904180239	0.82123851	0
0.303694427	0.042491749	0.901851074	0.817368166	0
0.303694427	0.287231848	0.900169871	0.814078374	0
0.242955542	0.085086634	0.897858219	0.810111272	0
0.242955542	0.063840759	0.895695422	0.80546686	0
0.242955542	0.294966997	0.894198102	0.801596517	0
0.533876018	0.042594884	0.89207033	0.798016449	0
0.380087664	0.287541254	0.88998634	0.793759071	0
0.242955542	0.08539604	0.887578369	0.788485728	0
0.242955542	0.276712046	0.88654513	0.785147557	0
0.242955542	0.085499175	0.884110889	0.781277213	0
0.242955542	0.085499175	0.88165038	0.777842284	0
0.364433312	0.042801155	0.878664495	0.77397194	0
0.242955542	0.28785066	0.877193443	0.770101597	0
0.242955542	0.085705446	0.874680396	0.765457184	0
0.242955542	0.288056931	0.873183076	0.761490082	0
0.242955542	0.085808581	0.870635004	0.757619739	0
0.242955542	0.085808581	0.86806942	0.753604257	0
0.364433312	0.288160066	0.865591398	0.749733914	0
0.242955542	0.085911716	0.862982032	0.74586357	0
0.242955542	0.043007426	0.860722917	0.740541848	0
0.242955542	0.085911716	0.85806977	0.736623125	0
0.337507827	0.085911716	0.855661798	0.733333333	0
0.531621791	0.043007426	0.853096214	0.72946299	0
0.272886662	0.085911716	0.850040279	0.727527818	0
0.3154665	0.043007426	0.848052608	0.722302854	0
0.242955542	0.064459571	0.845495779	0.718722787	0
0.242955542	0.085911716	0.842737557	0.715142719	0
0.242955542	0.064459571	0.84015446	0.711562651	0
0.242955542	0.163778878	0.837869076	0.707692308	0
0.242955542	0.158106436	0.834541697	0.70411224	0
0.242955542	0.085911716	0.831704669	0.700145138	0
0.242955542	0.085911716	0.828841372	0.696323174	0
0.242955542	0.085911716	0.825969318	0.69245283	0
0.242955542	0.128919142	0.822676964	0.688582487	0
