Speed_S,Speed_F,Relative_Direction,Distance,Collision
0.411725405,0.53216236,0.997467662,0.959029997,0
0.161683648,0.531978361,0.995854492,0.954955953,0
0.2426925,0.088356278,0.993981731,0.948328841,0
0.227492901,0.266467509,0.991154048,0.943548629,0
0.323701353,0.531426363,0.988947528,0.939746188,0
0.161850676,0.26609951,0.986240368,0.936161029,0
0.259896442,0.26609951,0.983069654,0.92980552,0
0.161850676,0.26609951,0.980325411,0.925296912,0
0.310673125,0.530506367,0.977868571,0.920951264,0
0.242859529,0.088172279,0.97591237,0.916388335,0
0.22765993,0.265915511,0.972945621,0.911064917,0
0.260230499,0.265915511,0.969682196,0.907262476,0
0.243026558,0.52977037,0.967586929,0.903677317,0
0.081008853,0.08798828,0.966149909,0.899385991,0
0.162017705,0.08798828,0.964425486,0.893845291,0
0.311174211,0.265731512,0.960809759,0.891563826,0
0.243193586,0.529218373,0.958640324,0.888521873,0
0.311341239,0.265363513,0.954968971,0.883415738,0
0.287790212,0.265363513,0.952437962,0.877875037,0
0.162017705,0.08798828,0.950657912,0.872823223,0
0.311508268,0.265363513,0.94691239,0.868043011,0
0.243193586,0.265363513,0.943593339,0.865001058,0
0.162184734,0.08798828,0.941766934,0.859894923,0
0.081008853,0.265363513,0.939004148,0.854571505,0
0.243193586,0.496282515,0.934581836,0.851583872,0
0.162184734,0.08798828,0.932727618,0.847781431,0
0.324369467,0.265731512,0.928991367,0.842675296,0
0,0.265731512,0.926451087,0.839633343,0
0.486554201,0.08798828,0.923336,0.833549437,0
0.162184734,0.52756238,0.921185106,0.830507484,0
0.574244196,0.265363513,0.91824617,0.824423578,0
0.162017705,0.265363513,0.915010558,0.819697687,0
0.457992317,0.419002849,0.91324905,0.813179216,0
0.56672791,0.265731512,0.908400269,0.808616287,0
0.242859529,0.265731512,0.904775271,0.806117539,0
0.081008853,0.497754509,0.900742346,0.797752169,0
0.323868381,0.088172279,0.898109355,0.792428751,0
0.161850676,0.498122507,0.893724128,0.788843592,0
0.323868381,0.26609951,0.889681931,0.784280663,0
0.323868381,0.26609951,0.88560265,0.779935016,0
0.161850676,0.444026741,0.880744597,0.77385111,0
0.323868381,0.088356278,0.878018896,0.767767204,0
0.161850676,0.444026741,0.873077403,0.761683298,0
0.323868381,0.26609951,0.868868327,0.757174689,0
0.323868381,0.26609951,0.864622166,0.751090783,0
0.323868381,0.499410502,0.859356185,0.745006877,0
0.161850676,0.4997785,0.854757723,0.738922971,0
0.485719058,0.266651508,0.84973279,0.733002027,0
0.161850676,0.500146498,0.845097243,0.72865638,0
0.323868381,0.445130736,0.839173015,0.721051497,0
0.323868381,0.267019506,0.83472289,0.71665153,0
0.523968599,0.445130736,0.827760299,0.709046647,0
0.32403541,0.267019506,0.823226734,0.702962741,0
0.32403541,0.524434394,0.819592465,0.695738103,0
0.32403541,0.266651508,0.814975461,0.689654197,0
0.524636713,0.501250494,0.808467153,0.683407329,0
0.162184734,0.267019506,0.804526939,0.677323423,0
0.486554201,0.267019506,0.799075536,0.671782723,0
0.324369467,0.501986491,0.793420169,0.667219794,0
0.324369467,0.267203505,0.788636285,0.659614911,0
0.243193586,0.502354489,0.783314677,0.653693967,0
0.40537832,0.267387505,0.778085781,0.647610061,0
0.324369467,0.445866733,0.771521846,0.642395284,0
0.324369467,0.502906487,0.765727413,0.63555089,0
0.477701687,0.267755503,0.760850818,0.627946008,0
0.407215634,0.5229624,0.757160923,0.621970743,0
0.405044263,0.445866733,0.749985097,0.614963387,0
0.162017705,0.522410402,0.746517708,0.608553558,0
0.32403541,0.267203505,0.741381522,0.600188187,0
