Speed_S	Speed_F	Distance	Relative_Direction	Collision
0.100094945	0.823914822	0.027740092	0.58222357	1
0.435328998	0.609739163	0.163766439	0.585819915	1
0.93102764	0.804363107	0.030250247	0.520658789	1
0.684632543	0.458663765	0.096019655	0.748100953	1
0.437959943	0.681338532	0.056623465	0.438780324	1
0.622347453	0.264773519	0.103552451	0.69969562	1
0.522021667	0.796066772	0.124246607	0.470464138	1
0.459414491	0.609356622	0.102770329	0.880893925	1
0.551221147	0.829204113	0.10095084	0.52669429	1
0.42513467	0.4977631	0.082394385	0.136569022	1
0.599335251	0.669087592	0.121700455	0.61812221	1
0.447277984	0.609290079	0.06417421	0.729911848	1
0.618582704	0.844619022	0.034974572	0.715082839	1
0.625064253	0.603412707	0.117776936	0.447638937	1
0.592684005	0.458663765	0.086544873	0.701175945	1
0.579699887	0.677731395	0.047794464	0.5764832	1
0.521739306	0.836186025	0.046472746	0.458302492	1
0.643190929	0.458017204	0.08159341	0.344094403	1
0.464960171	0.761918815	0.079985042	0.442980194	1
0.551966614	0.544502709	0.071686972	0.825015069	1
0.615104371	0.490723769	0.080583912	0.502747241	1
0.650889785	0.629406892	0.163685848	0.526695019	1
0.647042091	0.52377843	0.105237999	0.397649689	1
0.493565023	0.791643038	0.085410171	0.679146366	1
0.545471627	0.62677413	0.107129459	0.49504144	1
0.441361257	0.459957087	0.109979334	0.476864897	1
0.554389959	0.490109585	0.098159594	0.457494848	1
0.602764939	0.458340476	0.05481884	0.690562035	1
0.148229526	0.224409353	0.076541993	0.161528662	1
0.546027021	0.595286881	0.122729034	0.72779139	1
0.704541965	0.902192523	0.073257978	0.677039391	1
0.463475235	0.825536388	0.063801514	0.615502034	1
0.521016827	0.625896647	0.120408921	0.45912819	1
0.116577086	0.727302934	0.042380113	0.482732822	1
0.293457164	0.840135324	0.046649533	0.057800062	1
0.581760084	0.608646829	0.089346478	0.480383118	1
0.652385097	0.614823002	0.063534866	0.428806591	1
0.672997356	0.669498768	0.15085577	0.581683674	1
0.55252059	0.738111771	0.080126358	0.836037664	1
0.529237188	0.437593154	0.176501205	0.745649079	1
0.54854662	0.381354277	0.114171311	0.507157286	1
0.569034895	0.487935087	0.111902696	0.525687837	1
0.526695256	0.640601262	0.155584244	0.522127773	1
0.643747036	0.625019216	0.071981329	0.344401719	1
0.721951858	0.610637331	0.110567162	0.428089798	1
0.755725695	0.5173955	0.1330336	0.617583848	0
0.248695249	0.4439926	0.709690259	0.530677183	0
0.433075657	0.455754773	0.668813131	0.595496164	0
0.41023038	0.40986222	0.557446391	0.555308758	0
0.292259311	0.50776478	0.754478328	0.500820555	0
0.771960572	0.509083652	0.107427896	0.568557416	1
0.520133669	0.448024217	0.43096942	0.588259372	0
0.540153911	0.683401192	0.305661227	0.487126715	0
0.587959771	0.473968955	0.445798957	0.56935934	0
0.515911002	0.509372905	0.160293334	0.737884392	0
0.403712637	0.615809412	0.639159881	0.531452135	0
0.521310562	0.792195967	0.118265138	0.747458146	1
0.711661886	0.437256341	0.369180609	0.612703398	0
0.689201322	0.614230003	0.076388077	0.533325636	0
0.493401327	0.609290079	0.491520616	0.562889977	0
0.410246954	0.605248323	0.714666746	0.612703398	0
0.488374692	0.858008524	0.508738642	0.484276495	0
0.378347035	0.473876686	0.746446203	0.61146497	0
0.438926512	0.733741078	0.106018885	0.280716342	1
0.552265056	0.438330557	0.592162569	0.645361517	0
0.282162922	0.560020829	0.699523975	0.483511931	0
0.540299083	0.457693949	0.42306095	0.607056042	0
0.382110919	0.433551398	0.702047747	0.552177742	0
0.600683412	0.606146491	0.448344856	0.52289897	0
0.564766982	0.4439926	0.335795246	0.567936058	0
0.541460511	0.437929967	0.480637322	0.566406578	0
0.520387376	0.609739163	0.602935546	0.564928952	0
0.342158947	0.385599075	0.781604678	0.545231713	0
0.575444289	0.597561582	0.124417029	0.347237634	0
0.511682155	0.613331835	0.500758926	0.588877527	0
0.499607407	0.463838638	0.195696045	0.48104189	0
0.559794263	0.655429609	0.481427095	0.492918492	0
0.521718955	0.622387241	0.268451936	0.588840946	0
0.545737424	0.434617973	0.180126513	0.827500086	0
0.637639162	0.464162207	0.397899115	0.627417908	0
0.706186253	0.441768205	0.395133698	0.585890124	0
0.450248967	0.266345313	0.755945177	0.496200077	0
0.177315495	0.436245902	0.822175711	0.612703398	0
0.397626433	0.548761947	0.578627269	0.505469864	0
0.343715858	0.544530714	0.63219812	0.473590871	0
0.410618145	0.453816208	0.689666941	0.548201389	0
0.457883078	0.608308214	0.195113877	0.603743059	0
0.472224261	0.459310393	0.186930696	0.504420519	0
0.402080734	0.62282587	0.314578319	0.556150951	0
0.425471533	0.443655787	0.776714928	0.612703398	0
0.490014658	0.613331835	0.430083888	0.612703398	0
0.40628542	0.606146491	0.305396382	0.670517052	0
0.451323338	0.530523604	0.772730869	0.379208175	0
0.458587557	0.820455471	0.40998573	0.536603942	0
