Speed_S,Speed_F,Distance,Relative_Direction,Collision
0.445525276,0.476931712,0.781606813,0.387104084,0
0.558529374,0.761468435,0.051429366,0.47114732,1
0.543850823,0.471352056,0.357822039,0.518559633,0
0.376964692,0.727767922,0.422649631,0.44898093,0
0.586533754,0.767851944,0.554252037,0.47323499,0
0.847438537,0.744354961,0.615103155,0.515431349,0
0.758199504,0.606492495,0.090031357,0.69294817,1
0.459902892,0.475989091,0.76944331,0.428877613,0
0.400028302,0.734781932,0.881741705,0.45642808,0
0.543399558,0.755130816,0.114937854,0.416960242,1
0.432400897,0.5076203,0.246252452,0.449830588,0
0.525979492,0.757931411,0.56047301,0.415958772,0
0.556760995,0.767919638,0.369278517,0.518923081,0
0.465561563,0.467766827,0.794518654,0.508080882,0
0.376221695,0.742142507,0.091495358,0.468821157,0
0.640422915,0.80356718,0.180161128,0.337860471,0
0.377780556,0.47007992,0.303130597,0.484864716,0
0.444619988,0.473779728,0.288208313,0.462269268,0
0.523106403,0.734986885,0.875487029,0.362925433,0
0.304951608,0.494740473,0.054466298,0.572868804,1
0.703966661,0.511813512,0.866265813,0.392229739,0
0.515203691,0.77119257,0.186224697,0.519881181,0
0.500673305,0.38223412,0.523746434,0.399950325,0
0.568111517,0.969116524,0.733319882,0.639971229,0
0.456806168,0.45170913,0.498063231,0.394569699,0
0.385105491,0.3659479,0.762047886,0.512797202,0
0.525981221,0.778274767,0.2994247,0.514337942,0
0.497673587,0.787438986,0.528499051,0.470132884,0
0.420046546,0.466535874,0.111695026,0.455222571,0
0.534073861,0.80585881,0.818947776,0.476749483,0
0.499676407,0.80131413,0.714337438,0.571328628,0
0.515842242,0.835294759,0.248773491,0.582200689,0
0.536042477,0.510794123,0.831142862,0.519542259,0
0.500457158,1.272549927,0.152653203,0.485447183,0
0.325548248,0.404364692,0.848797678,0.447994826,0
0.664651443,0.846342655,0.065269685,0.496026571,1
0.452523073,0.500597566,0.739597912,0.462087244,0
0.60303617,0.566439348,0.463943838,0.571086538,0
0.305033112,0.549823039,0.013695954,0.623354137,1
0.555441724,0.487253419,0.246150787,0.444586515,0
0.522701066,0.728401438,0.305639122,0.499842348,0
0.381764312,0.731787661,0.320109377,0.468461071,0
0.445545758,0.464143602,0.767029834,0.534497134,0
0.606269076,0.403207548,0.871339714,0.563224085,0
0.611872122,0.459624205,0.435344938,0.561922814,0
0.496320083,0.50290763,0.579102412,0.470895575,0
0.296307812,0.727861431,0.825921341,0.555039291,0
0.402235678,0.534601917,0.464775648,0.253038149,0
0.484866497,0.758956499,0.151153627,0.363871112,0
0.474509443,0.488357949,0.108234904,0.425229227,0
0.448500657,0.443369645,0.181427864,0.359974222,0
0.463664554,0.232857925,0.982857701,0.339530157,0
0.386937979,0.475922405,0.172466298,0.453633498,0
0.577799482,0.44906497,0.836460579,0.495171514,0
0.454252651,0.862839751,0.230277565,0.412960633,0
0.525736908,0.712494652,0.599443175,0.572206097,0
0.628084896,0.526625328,0.762526499,0.242219141,0
0.650232424,0.729930971,0.443672506,0.559578062,0
0.511066611,0.698351117,0.862540943,0.51885154,0
0.519726247,0.969107404,0.112647279,0.473926368,0
0.520958036,0.457614144,0.451301832,0.57287748,0
0.564153446,0.813949185,0.840136831,0.409244112,0
0.457550039,0.622957993,0.133800499,0.517268038,0
0.587375819,0.499195453,0.353514741,0.467790168,0
0.469194578,0.745939227,0.399121136,0.46060033,0
0.526415391,0.490268586,0.774438538,0.469533649,0
0.406562738,0.454143781,0.928959867,0.462546422,0
0.5279375,0.48146165,0.046508957,0.565185149,1
0.668151032,0.501660837,0.521053367,0.434131391,0
0.472513025,0.607380297,0.951535847,0.360098272,0
0.45303834,0.436388783,0.883481466,0.490477488,0
0.527420244,0.770640493,0.134204884,0.519456252,1
0.601955178,0.771925321,0.206178917,0.467515131,0
0.621350684,0.68128595,0.359132966,0.420566469,0
0.624940088,0.476832523,0.379312428,0.322764108,0
0.455591097,0.468154659,0.656947308,0.401044762,0
0.563278836,0.768620788,0.138105303,0.357405354,1
0.43312099,0.484562922,0.425115221,0.490566078,0
0.513330656,0.763163859,0.863534941,0.543447903,0
0.455516526,0.456570947,0.552755249,0.458918895,0
0.549589663,0.547691134,0.896265091,0.460353121,0
0.525436427,0.625091008,0.512983421,0.469131856,0
0.7467253,0.786442201,0.355253858,0.519456252,0
0.577029274,0.487290536,0.493465357,0.519348011,0
0.367172105,0.38184469,0.342389102,0.519093824,0
0.54638561,0.529465056,0.403495762,0.40297736,0
0.496600509,0.512206501,0.885457547,0.519585069,0
0.449377999,0.570737265,0.105475172,0.67992969,0
0.470337345,0.475283586,0.389818925,0.451795453,0
0.46514918,0.325449685,0.330507684,0.35911635,0
0.369142146,0.543047718,0.070805691,0.365587002,0
0.449552986,0.587624975,0.171237781,0.594648221,0
0.445545725,0.190523813,0.262898831,0.490104355,0
0.528426804,0.4863909,0.369007348,0.353709721,0
0.489308409,0.418130062,0.866321304,0.40842904,0
0.424785418,0.596979664,0.07900091,0.365297564,1
0.489579528,0.733211427,0.030271099,0.464807731,1
0.468023476,0.477819652,0.367878777,0.451696589,0
0.409861146,0.478010598,0.289724589,0.418835497,0
0.671363066,0.469024511,0.26891975,0.452986124,0
0.404273928,0.506865002,0.591563822,0.506424144,0
0.541598387,0.486945632,0.442885487,0.420861856,0
0.434762297,0.480844635,0.290388523,0.519557636,0
0.516714038,0.687525051,0.473944228,0.618306027,0
0.38847487,0.458983461,0.106653586,0.49455649,0
0.563366384,1.116259741,0.563391096,0.421373323,0
0.479141257,0.478938405,0.629473242,0.458651149,0
0.448980691,0.477283522,0.54302323,0.52108672,0
0.454688357,0.78852581,0.546444226,0.520415085,0
0.459375332,0.77453973,0.493350824,0.45929333,0
0.614216905,0.44107836,0.964572615,0.370002991,0
0.493498234,0.488366654,0.287051474,0.347525915,0
0.553318206,0.482558461,0.68543031,0.468436899,0
0.616455204,1.003061856,0.659835927,0.52752219,0
0.368255253,0.474457179,0.199843767,0.519137135,0
0.526280265,0.629140183,0.23741001,0.494178676,0
0.595744837,0.769170904,0.146516725,0.367317514,1
0.434997778,0.490096149,0.580374939,0.519011105,0
0.48507482,0.782194893,0.391251343,0.423917963,0
0.566997541,0.64820023,0.579458706,0.293873791,0
0.441768496,0.636129637,0.540415957,0.518670094,0
0.459029317,0.629933113,0.820655343,0.403986001,0
0.549052148,0.720013477,0.615711335,0.518882674,0
0.522345572,0.777921517,0.501917249,0.481697475,0
0.436063879,0.446621394,0.549157028,0.368306348,0
0.442540961,0.495913506,0.696101184,0.458638365,0
0.576318726,0.795336977,0.597756652,0.560801761,0
0.640696587,0.80722858,0.820455648,0.338664849,0
0.442346226,0.739782192,0.43087074,0.399187622,0
0.449330348,0.767367659,0.18604435,0.519304942,0
0.509709225,0.81358274,0.832709261,0.458840441,0
0.543667405,0.504092455,0.651114325,0.414590006,0
0.56966132,0.753851686,0.229497433,0.521622165,0
0.510108157,0.794054246,0.79862511,0.468036315,0
0.434390158,0.783076816,0.176486641,0.568301107,0
0.311580357,0.469068633,0.588197127,0.384743459,0
0.52682005,0.780740437,0.221641431,0.420174996,0
