Speed_s,Speed_f,Relative_direction,distance,Collision
2.540158027,1.355684218,167.0957658,13.30173849,0
2.540544854,1.703719631,175.7465477,13.24479478,0
2.920797658,2.554266242,176.3132783,13.08057249,0
2.350406839,1.349158063,171.7160712,12.96671542,0
2.411784083,1.755974365,169.4963385,12.82866372,0
2.41209654,3.087783167,164.4266396,12.72383455,0
2.351250407,1.752024283,172.5140875,12.60691186,0
2.157098302,3.074883586,166.3098089,12.45732442,0
2.157263977,1.285273107,174.9822352,12.34362111,0
2.330650035,2.538308781,170.3189181,12.2102182,0
2.406692293,2.568844691,180.7327143,12.10807839,0
2.811195304,2.535238477,172.1358886,11.96460269,0
2.656947247,3.793342715,172.2188824,11.82702307,0
2.850005847,3.400125375,170.8714064,11.66202418,0
2.654263584,2.565742594,172.5401764,11.48956914,0
2.908564207,3.365326896,176.3267479,11.31467072,0
3.243005644,3.018762219,182.0964314,11.1638118,0
3.338178479,3.387827772,176.580157,10.9807964,0
3.372446688,3.385102731,181.8366723,10.78636856,0
3.162485224,2.519915744,176.6237391,10.60321052,0
3.163485604,3.357422731,176.6234895,10.41771321,0
3.217792675,3.354707011,174.9788679,10.25619913,0
3.16106134,2.933184779,176.6237391,10.07316812,0
3.342604073,2.931098525,175.1731146,9.885852258,0
3.414133732,3.347255749,176.879965,9.714854325,0
3.526413697,2.214839825,177.7637425,9.530866364,0
3.590332178,3.370747715,179.2451594,9.335115836,0
3.520970828,2.54021716,177.9636598,9.181807319,0
3.409702417,3.342768109,176.8762415,8.977045686,0
3.411193833,3.340068251,176.8760904,8.814591783,0
3.350939688,2.920390112,180.0079801,8.631878771,0
3.353542574,2.644665891,176.282223,8.427203273,0
3.35680045,3.360896093,176.2826916,8.256334279,0
3.411515478,2.944815322,180.6008483,8.094219509,0
3.669624573,2.655160443,180.8217254,7.889338743,0
3.414203688,3.358474042,180.6009852,7.715805847,0
3.622325489,2.530887621,176.1038294,7.531336728,0
3.669398839,3.078091697,180.8217254,7.348441651,0
3.928529812,2.531324806,181.3978404,7.167136067,0
3.930525162,3.354027506,181.0120962,6.96849888,0
4.020292084,2.496263984,180.0279703,6.787139883,0
4.024202862,3.32594106,180.0279703,6.582079575,0
4.158261134,2.4927375,180.0279703,6.389544867,0
4.032434093,2.491228438,180.0279703,6.184396181,0
4.048556981,3.319212526,177.3962309,5.991716737,0
3.924837275,2.487712616,177.311115,5.810050155,0
3.954452459,2.486208113,175.9537398,5.605396552,0
4.202723888,2.898622396,177.4784542,5.423453247,0
4.208643263,2.896590144,177.4808102,5.241614701,0
4.201998185,2.481202949,178.7511903,5.025454269,0
3.941070635,2.479690964,180.0200349,4.831390216,0
3.944934563,3.303863693,180.0200349,4.649015684,0
3.948804177,2.476212884,180.0200349,4.466576154,0
4.216605468,2.474718799,180.0200349,4.260624027,0
4.229568993,3.297223476,177.4450539,4.078069325,0
4.231861436,2.471237857,177.4451847,3.872967319,0
4.360471519,3.292608758,172.3927587,3.667949746,0
4.273057974,2.878883496,174.9141687,3.485374405,0
4.711661307,2.055178339,170.4670854,3.260047523,0
4.337513975,3.285980961,172.3927587,3.066061934,0
4.445662495,3.283354498,169.8714723,2.87722852,0
4.322228471,2.460867594,172.3923433,2.674461881,0
4.31473726,2.45935879,172.3927587,2.472287575,0
4.409998613,3.276765537,169.8714723,2.271649843,0
4.400040123,2.455910194,169.8664031,2.094070219,0
4.636131608,3.272193752,170.4583141,1.898403565,0
4.571384922,3.269573395,171.6558966,1.701110164,1
4.364911532,3.949500814,173.0121918,1.482598718,1
4.413465786,3.21715302,178.2561759,1.291561741,1
4.399935707,2.846005323,182.6852937,1.092022712,1
4.494539299,2.755628615,185.4896656,0.915303408,1
2.214913321,2.5363181,179.9534342,12.11066106,0
2.386066805,2.285556986,175.4483457,12.00063948,0
2.385973647,3.049404964,175.4486252,11.84145945,0
2.385600916,3.051766937,175.4497423,11.69374067,0
2.116421168,2.290417675,174.8505399,11.58355894,0
2.625030894,3.055880581,171.4910655,11.40260958,0
2.106717188,3.231526638,187.2068981,11.27809438,0
2.391220945,3.079165899,181.1969161,11.13172248,0
2.491143227,3.081519512,176.6798065,10.99323733,0
2.766557454,3.221366705,176.6802955,10.81209446,0
2.764352247,3.082026958,176.6800511,10.65451965,0
2.762700071,3.28348832,173.4498491,10.49286484,0
2.939039383,3.082530947,180.3409215,10.31182549,0
2.938229644,3.08488525,180.3402193,10.15051642,0
3.210933113,2.445183068,179.725541,9.980037348,0
3.214471756,2.327165661,179.3683861,9.798979082,0
3.174354467,3.267289751,179.1148481,9.636280825,0
2.909190854,2.327060008,183.6313941,9.487227721,0
3.190810884,3.259112902,177.9750771,9.313103889,0
3.219506622,2.516780762,175.5260882,9.177324992,0
3.492312205,3.1548965,175.9431262,8.974840548,0
3.256474504,2.326842937,177.6628536,8.817767667,0
3.220996103,3.173522799,179.7282645,8.636887806,0
2.947030584,3.237374774,176.5257789,8.477764155,0
2.9462155,3.900932294,177.5931301,8.303970683,0
3.028309329,3.085267008,176.9152932,8.144398748,0
3.301303747,3.065430194,180.0193744,7.941918479,0
3.298670568,3.835055309,180.0193744,7.761167983,0
3.219644357,3.838744416,176.6560981,7.580426013,0
3.218611977,3.07368309,176.656365,7.377900689,0
3.217580219,3.076029618,176.6566315,7.184089312,0
3.292983247,3.848321623,180.0232817,7.00320677,0
3.522066605,3.852029873,178.4934077,6.822332679,0
3.491002251,3.084325361,176.9223304,6.619600794,0
3.489753523,3.858698481,176.9224588,6.397626077,0
3.517967735,3.862410748,178.4934077,6.220765509,0
3.830599619,3.099968992,177.1606305,6.017857633,0
3.827548331,3.897108516,177.1634196,5.791618743,0
3.823739344,3.130331063,176.9460187,5.5876284,0
3.819936041,3.104661373,180.0233464,5.384530773,0
3.816897482,3.90488076,176.943525,5.180200038,0
3.813104379,3.142617013,176.9460187,4.975919517,0
3.753552135,3.145030167,174.0706803,4.772536235,0
3.752094032,3.158324989,173.8099421,4.568181522,0
3.750272995,3.154132794,173.812793,4.370651734,0
3.532869364,3.933593171,176.9524393,4.188715217,0
3.7523302,3.131412514,177.1378039,3.98419504,0
3.797456428,3.133844561,180.0195365,3.780624486,0
3.794442548,3.198333844,176.6980114,3.582426305,0
3.796166073,3.171473618,176.7047636,3.371756474,0
3.476652995,3.888451182,176.9123989,3.189087294,0
4.012703891,3.166499206,179.5855852,2.990399445,0
3.785631204,3.168946289,176.8948947,2.788326296,0
4.014657694,3.149094572,177.3329817,2.56093055,0
3.743839275,3.151547257,177.1379618,2.379626723,0
3.755712374,3.154002808,174.176341,2.180923401,0
3.747714676,3.15646123,175.6648814,1.976671091,0
3.76119693,3.158922528,174.1782018,1.801015876,1
3.76663815,3.161386705,174.176341,1.599768317,1
3.797014195,3.163853767,172.6768686,1.398801047,1
3.840581011,3.887468004,185.7471968,1.224169442,1
3.777611672,3.939302637,180.0738705,1.027864416,1
3.067639688,2.022665402,173.6527423,12.89464034,0
2.709293203,1.443289409,179.2092736,12.77152518,0
2.422815929,2.878970082,184.7784745,12.61283418,0
2.359393128,1.65636745,194.2638227,12.506468,0
2.614528956,2.413487362,163.9462029,12.38397342,0
2.856123773,2.412168714,164.7251022,12.26100631,0
2.622435691,2.056782389,164.2452859,12.12448444,0
2.557220675,2.412770008,180.2380049,11.99110148,0
2.430141702,2.411402816,180.00511,11.86685121,0
2.596506314,2.456944379,175.5338861,11.71520367,0
2.300098507,2.54627951,183.518276,11.59279373,0
2.591184682,2.331494606,184.0829798,11.45004435,0
2.424445461,2.883742545,183.7745294,11.31418937,0
2.424760356,2.558423879,183.776112,11.1826847,0
2.42160642,2.563588478,183.3646722,11.03790475,0
2.580583113,2.886513546,179.1156258,10.90169053,0
2.579929786,2.570787018,179.11277,10.75886475,0
2.740709966,2.576100258,181.8452159,10.60766819,0
2.670853216,3.27541529,183.4269979,10.47118374,0
2.927023884,2.205538293,184.1658039,10.30951099,0
2.878406523,3.209407708,181.8351427,10.15027961,0
3.135708808,2.974209217,185.781223,10.00272221,0
3.137425009,2.217912247,185.784511,9.824423963,0
3.18256043,3.105514961,188.1119975,9.651134279,0
3.138680408,3.28103391,185.781223,9.503078074,0
3.182345403,2.230518048,184.0948854,9.329541951,0
3.139936178,2.818405437,182.1671125,9.150947362,0
3.182130261,2.616685468,184.8762511,8.999863747,0
3.400386845,3.006233445,185.9148225,8.83249037,0
3.439626571,2.765255609,188.3460131,8.669943053,0
3.438425227,2.899933564,184.350901,8.47623848,0
3.43994189,3.019651165,184.352559,8.313449593,0
3.663660863,2.261060651,186.4008539,8.143584713,0
3.923200568,3.152840628,190.1046196,7.949378661,0
3.697681916,3.292434886,184.5743335,7.777580279,0
3.44057254,2.653686863,184.0179473,7.580906292,0
3.389077989,2.659423912,172.502241,7.399669466,0
3.519908,3.295254492,172.5090982,7.238177024,0
3.647819863,3.052624095,171.3657598,7.056007478,0
3.545073037,3.22548471,181.8786141,6.86358139,0
3.544893447,3.060466981,185.3286749,6.680603887,0
3.74355673,3.066587431,182.4930852,6.488157305,0
3.741698038,3.296945377,182.4893201,6.301723973,0
3.739840775,3.074646572,182.491258,6.104068866,0
3.703603191,3.080805528,183.9326192,5.911721834,0
3.811034916,3.299116105,185.4296615,5.725084714,0
3.932152242,3.088902627,173.1606473,5.528327144,0
3.813712873,3.095100371,185.4331154,5.325912268,0
3.705149045,3.224809765,187.4932477,5.128699838,0
3.688003666,3.303627048,185.3817464,4.941499625,0
3.81746439,3.109472482,171.7508923,4.754213644,0
3.966647719,3.115728196,170.4375349,4.552124249,0
3.958171556,3.246182233,168.2500562,4.354664506,0
3.713696667,3.252764212,187.4821834,4.156176772,0
3.715482385,3.310492199,183.9343044,3.957408162,0
3.778009203,3.136531953,181.0437853,3.780036266,0
3.713465438,3.238206292,180.4847035,3.576496414,0
3.608145028,3.144785629,182.3244122,3.376749494,0
3.449207717,3.541820766,183.433797,3.195612996,0
3.703017697,3.703343387,184.8467997,3.007244325,0
3.585865484,3.19077255,173.8004174,2.807412548,0
3.481526203,3.288815107,176.86884,2.592045335,0
3.196642448,3.209088362,178.2862958,2.412392347,1
2.919902756,3.406368011,184.8002462,2.229227545,1
2.807191421,2.832327087,181.4346679,2.047927734,1
2.712062966,3.301439463,186.1469047,1.886372272,1
2.829998579,3.534260613,182.2235073,1.728004508,1
2.216861365,2.220063749,174.985697,13.15115292,0
2.496413314,1.344856562,179.8289194,13.00217242,0
2.214654124,1.580590757,179.8250871,12.85680125,0
1.9368577,2.599344545,179.8294045,12.75962384,0
2.385738232,1.354763601,184.3509347,12.65696023,0
2.211129389,1.851545321,174.2730192,12.53533723,0
2.486283443,2.371904802,179.8294045,12.40373085,0
2.208491356,2.721773667,170.1980326,12.30465605,0
2.207613061,2.405196586,175.5381385,12.16693457,0
2.206296601,2.712845688,171.2227639,12.02222898,0
2.204981318,2.404624653,175.5389318,11.90806067,0
2.479372019,2.406047993,175.5381385,11.76364854,0
2.477894749,3.385393197,175.9886017,11.6261058,0
2.476418799,2.405386723,175.9880769,11.48856974,0
2.474944167,2.4068101,175.9875517,11.32213997,0
2.473470852,3.375620911,175.9886017,11.18468802,0
2.471998852,2.40671419,175.9880769,11.04724296,0
2.811912633,3.191525529,174.4714037,10.88121227,0
3.017140543,2.581096214,175.9886017,10.74385136,0
3.015346776,3.191443251,176.3580186,10.55616661,0
2.960061247,2.673127672,173.826677,10.39423928,0
3.010571211,3.191357867,176.3584651,10.23454508,0
3.232209066,3.425409633,174.3743542,10.06843484,0
3.230406047,3.191507441,178.3066937,9.885582213,0
3.22860487,2.409677887,177.9970844,9.701651311,0
3.229111964,2.553794247,177.6275622,9.518857762,0
3.193660005,3.194094437,179.3207644,9.358553064,0
3.173259622,3.406927551,177.8052133,9.197319444,0
3.193884226,2.409475877,179.6912131,9.018605886,0
3.195125033,3.398614284,176.0586274,8.835057228,0
3.196366766,2.409874948,179.3219438,8.674828306,0
3.195349234,3.196031929,179.6912131,8.491473115,0
3.180953997,3.311611643,181.4353483,8.335057176,0
3.468145353,3.196187212,179.7372386,8.15237996,0
3.446439008,3.379057741,179.6213428,7.972839414,0
3.335422379,3.072998653,176.6811666,7.76697169,0
3.187906421,4.242309265,180.6799354,7.587459289,0
3.202558655,3.197513299,180.2644687,7.420036204,0
3.59220585,4.237762156,175.9226632,7.20280281,0
3.745566778,3.198669856,179.7748386,7.020068493,0
3.744114875,3.991163319,179.9999145,6.79172202,0
3.463946502,3.272979051,181.5998283,6.589067911,0
3.475786556,3.992625077,180.2256747,6.383806617,0
3.744350051,3.205505425,179.7746538,6.204407221,0
3.770335262,3.26196293,178.3235491,5.975963264,0
3.746400765,3.997512383,179.7748134,5.770119775,0
3.475146739,3.209183124,180.0002222,5.587883424,0
3.765220291,3.188735857,178.5053982,5.362286105,0
3.794975956,3.249334002,176.6347102,5.179566409,0
3.745183477,4.005286403,179.7746603,4.973811046,0
3.743369137,3.215394876,179.7745006,4.766283914,0
3.737309748,3.194986128,175.5841223,4.565963638,0
3.745418766,3.236355776,179.5120616,4.360258672,0
3.75014861,3.218768418,182.48023,4.156854504,0
3.48944392,4.08339383,180.0674343,3.975068048,0
3.755620672,3.219569746,182.741876,3.773665141,0
3.49753347,3.222110215,183.2058482,3.569367581,0
3.484811922,4.00252682,175.2479764,3.365607393,0
3.214620299,3.204955361,176.5764556,3.18671771,0
3.224689638,3.207505604,178.2828565,2.981042774,0
3.222888388,3.611438039,178.2825847,2.798098123,0
3.221088982,3.671808172,175.1328703,2.616902148,0
3.239307673,2.457220585,176.557833,2.422549782,0
2.967301449,4.228361385,171.8704408,2.228414687,0
2.995119271,3.370819479,175.003772,2.068310444,1
2.991995109,2.797989395,171.725317,1.886015853,1
3.0885145,3.472864214,176.1355902,1.702643099,1
2.760925548,3.558552635,172.9843703,1.543994237,1
2.757276592,3.572748732,173.8612224,1.385320494,1
2.268093186,1.385561536,175.3500032,13.34977809,0
2.247330986,2.112198919,168.1881601,13.28499269,0
2.50032649,2.908033266,175.6331483,13.14936665,0
2.754362322,2.115451684,171.5305187,13.03210637,0
2.672142643,2.491237504,179.9253346,12.86319912,0
2.546745537,2.520303208,175.4178209,12.71712756,0
2.269378484,2.488263065,177.5729314,12.59215585,0
