Speed_s,Speed_f,Relative_direction,distance,Collision
2.349367467,0,#DIV/0!,35.81792134,0
2.356342641,0,#DIV/0!,35.75648904,0
2.306102685,0,#DIV/0!,35.69725054,0
2.30852185,0,#DIV/0!,35.6355055,0
2.071097156,0,#DIV/0!,35.57614739,0
2.072315608,0,#DIV/0!,35.51677836,0
2.073535135,0,#DIV/0!,35.477193,0
2.320722765,0,#DIV/0!,35.41780606,0
2.451204207,0,#DIV/0!,35.35840856,0
2.635433757,0,#DIV/0!,35.29595028,0
2.58834268,0,#DIV/0!,35.22651324,0
2.462709212,0,#DIV/0!,35.15378074,0
2.408565689,0,#DIV/0!,35.09414156,0
2.412007759,0,#DIV/0!,35.03449237,0
2.754282002,0,#DIV/0!,34.9676691,0
2.674707087,0,#DIV/0!,34.90780108,0
2.616177681,0,#DIV/0!,34.84034847,0
2.631287247,0,#DIV/0!,34.76022866,0
2.369804269,0,#DIV/0!,34.70415134,0
2.445515953,0,#DIV/0!,34.6400171,0
2.372629734,0,#DIV/0!,34.57989731,0
2.706371881,0,#DIV/0!,34.51543736,0
2.644505208,0,#DIV/0!,34.45963049,0
2.822344744,0,#DIV/0!,34.37029211,0
2.228451388,0,#DIV/0!,34.30993037,0
2.633192807,0,#DIV/0!,34.26018075,0
2.742194323,0,#DIV/0!,34.19959962,0
3.308258401,0,#DIV/0!,34.11381033,0
2.755364263,0,#DIV/0!,34.04799488,0
2.683980679,0,#DIV/0!,33.95638367,0
2.477796984,0,#DIV/0!,33.90071718,0
2.429521762,0,#DIV/0!,33.83977825,0
2.683182604,0,#DIV/0!,33.77883147,0
2.684804753,0,#DIV/0!,33.71219422,0
2.690288638,0,#DIV/0!,33.63659284,0
2.44079145,0,#DIV/0!,33.57562121,0
2.443399486,0,#DIV/0!,33.50860993,0
2.715990562,0,#DIV/0!,33.44751924,0
2.963847686,0,#DIV/0!,33.38642175,0
3.408304187,0,#DIV/0!,33.29855389,0
2.98036426,0,#DIV/0!,33.22430134,0
2.606259489,0,#DIV/0!,33.13570685,0
2.176144815,0,#DIV/0!,33.07415429,0
2.177474304,0,#DIV/0!,33.02285586,0
2.314862502,0,#DIV/0!,32.97155335,0
2.486726134,0,#DIV/0!,32.90998512,0
2.489401279,0,#DIV/0!,32.84841138,0
2.463807761,0,#DIV/0!,32.77953427,0
2.498589684,0,#DIV/0!,32.71784229,0
2.617447179,0,#DIV/0!,32.65990408,0
2.917727822,0,#DIV/0!,32.58680679,0
3.061417413,0,#DIV/0!,32.51723143,0
3.071979274,0,#DIV/0!,32.44741811,0
