Speed_S,Speed_F,Distance,Relative_deirection,Collision
0.302287811,0.800083529,0,0.285720391,1
0.278677508,0.977390452,0.001540651,0.252505998,1
0.40411018,0.957400924,0.003747084,0.197924897,1
0.289678251,0.800580642,0.008197303,0.309899203,1
0.42975759,0.800055016,0.011697033,0.238510413,1
0.680255262,0.197184607,0.013216788,0.084036412,1
0.289678251,0.821478908,0.015520229,0.309817852,1
0.342014491,0.551756022,0.019476638,0.211093679,1
0.656180625,0.151062672,0.020187519,0.253848753,1
0.43892779,0.999255453,0.020876736,0.242382373,1
0.546027221,0.999008647,0.021034959,0.239605415,1
0.526871243,0.486517547,0.021931331,0.248928395,1
0.297456928,0.800093177,0.022841714,0.275278034,1
0.342014491,0.511232306,0.029062191,0.251611167,1
0.414401843,0.643974221,0.02917759,0.271098156,1
0.05840177,0.686444684,0.029642592,0.158165526,1
0.733438876,0.330676466,0.029918473,0.030883383,1
0.978441347,0.688844252,0.029989499,0.195053111,1
0.483175867,0.957962321,0.030100443,0.264535161,0
0.522003402,0.800513331,0.030374487,0.243345379,1
0.289678251,0.957416645,0.031297303,0.250940228,1
0.882737289,0.996434885,0.032689598,0.168721822,1
0.679042002,0.330676466,0.033205159,0.131677274,1
0.902466487,0.958060913,0.034537896,0.231017322,1
0.167074341,0.95744844,0.035948866,0.197493593,0
0.413777633,0.822553819,0.037034091,0.276252905,1
0.440685817,0.329151056,0.037714477,0.293181813,1
0.343487574,0.545082562,0.038417824,0.373899659,1
0.97842617,0.509348214,0.038532215,0.195124802,1
0.29808025,0.957416645,0.038674643,0.275265347,0
0.54756205,0.643705238,0.038983675,0.229544333,1
0.732819136,0.151062672,0.039546052,0.031668916,1
0.88293298,0.957207257,0.040464421,0.218523766,1
0.167427937,0.999354368,0.042758456,0.172017328,0
0.441144454,0.688430623,0.045625044,0.23486864,1
0.440991574,0.643974221,0.045936007,0.293171351,1
0.405838868,0.643279066,0.046307533,0.194792858,1
0.70198369,0.151062672,0.046603551,0.078843948,0
0.326760698,0.957416645,0.047095359,0.247003708,0
0.547869025,0.657302093,0.047598982,0.229620839,1
0.299716494,0.957497014,0.048183128,0.274114235,1
0.978411006,0.688844252,0.04857621,0.195196499,1
0.440609378,0.998860894,0.049015864,0.192506871,0
0.878535453,0.996148405,0.049151758,0.177161782,1
0.55623529,0.399302189,0.04932318,0.716866172,1
0.179578369,0.957432484,0.050634162,0.17084954,0
0.397627599,0.97029854,0.051715689,0.174165413,0
0.446878157,0.145410396,0.051879731,0.88015307,1
0.341487702,0.330676466,0.051965148,0.294787595,0
0.415143098,0.643279066,0.052142205,0.217036123,1
0.155052101,0.506701627,0.052314534,0.731197498,0
0.977734711,0.54301178,0.052447819,0.239047713,0
0.885007313,0.800102898,0.052525149,0.183197562,1
0.65278822,0.574087818,0.054370163,0.828611325,1
0.807792106,0.698382468,0.054410628,0.889688458,1
0.849467786,0.535190091,0.054558285,0.926712124,1
0.373488482,0.800369389,0.054826231,0.326586403,1
0.415260139,0.329151056,0.054995756,0.27108368,1
0.326988765,0.64379813,0.055604991,0.236809382,0
0.411024933,0.957497014,0.055903038,0.249822357,1
0.651636013,0.957480705,0.056409033,0.197691251,1
0.167074341,0.970772691,0.056755927,0.197924897,0
0.522940678,0.812841132,0.056947034,0.18733761,0
0.883911437,0.957193183,0.057575119,0.2445438,1
0.977895757,0.552446462,0.057649525,0.238076985,1
0.479736275,0.957309069,0.057941335,0.133472303,0
0.978350479,0.696447172,0.058634227,0.213598566,1
0.415299153,0.683597725,0.060741315,0.217119507,1
0.415845345,0.643974221,0.060963618,0.27107382,0
0.418498326,0.692644601,0.061061019,0.210465636,0
0.609407624,0.132138646,0.061242807,0.891208821,1
0.341878067,0.369251745,0.062138764,0.301106596,0
0.273962904,0.259545661,0.062962241,0.704819605,0
0.97207306,0.508406167,0.063327497,0.327038387,1
0.483569564,0.957250185,0.063358189,0.221361476,1
0.486727551,0.799964668,0.063423046,0.262610473,1
0.556542353,0.427115023,0.063909197,0.707631455,1
0.405838868,0.642827899,0.064391013,0.188791929,0
0.179345078,0.9707148,0.064446698,0.19722068,0
0.514613273,0.800496825,0.064702017,0.140404007,0
0.479292536,0.997930883,0.064773008,0.083485893,0
0.777495825,0.998688828,0.065006232,0.165456123,1
0.290464018,0.957497014,0.065282218,0.196523848,1
0.65634344,0.645063729,0.066254399,0.331005507,1
0.978350479,0.555208371,0.067236632,0.239463771,1
0.884107129,0.969387554,0.067647822,0.218946312,0
0.560691716,0.145410396,0.067711924,0.83774818,1
0.978335379,0.719045193,0.067992121,0.230435774,1
0.290464018,0.64284184,0.069695435,0.219553865,0
0.326684677,0.956971934,0.069698092,0.3066471,1
0.523187415,0.369251745,0.07028821,0.16933867,0
0.88030343,0.970341321,0.070813038,0.149734048,0
0.442673308,0.486015818,0.070951441,0.293113902,0
0.767207305,0.551525879,0.071142429,0.88379408,1
0.411024933,0.957497014,0.071431186,0.249822357,1
0.514613273,0.692586479,0.071800536,0.130188026,0
0.509893319,0.957250185,0.072067813,0.242380242,1
0.525928322,0.972341091,0.072085464,0.199147938,0
0.326228554,0.957207257,0.072113043,0.249943433,1
