Speed_S,Speed_F,Distance,Relative_Direction,Collision
0.155625548,0.145870185,0.099123221,0.191738584,1
0.665440016,0.11529066,0.303165235,0.776775869,1
0.211635596,0.697314502,0.319803813,0.834548725,1
0.136428448,0.107830194,0.153148802,0.897920387,1
0.735466495,0.702418439,0.129101358,0.727293852,1
0.726305055,0.710587684,0.380802999,0.905202226,1
0.632894873,0.13773684,0.194991758,0.910211528,1
0.306344905,0.106409152,0.025393109,0.897920387,1
0.394298948,0.197551435,0.059752121,0.832627058,1
0.385798332,0.102856549,0.277892795,0.832800881,1
0.262128382,0.103567069,0.116231162,0.285660202,1
0.571447466,0.103567069,0.096967,0.841777759,1
0.39182451,0.473918829,0.075044646,0.264497214,1
0.528501041,0.695273327,0.235661113,0.782848438,1
0.12796968,0.209855495,0.090505877,0.834630756,1
0.491638894,0.473928468,0.046700767,0.435761167,1
0.498422169,0.947127891,0.12210311,0.197432306,1
0.569608746,0.623955239,0.20544665,0.841701521,1
0.303055384,0.102856549,0.37993143,0.897920387,1
0.497008143,0.630882815,0.08979639,0.287083533,1
0.307989666,0.624488129,0.174906249,0.897920387,1
0.496868952,0.889522831,0.145049186,0.400257161,1
0.554963881,0.473918829,0.071043252,0.256488387,1
0.472971841,0.622356567,0.175242108,0.897920387,1
0.304700145,0.20661499,0.32264268,0.833462842,1
0.510975872,0.630882815,0.080273736,0.198663563,1
0.574791243,0.64168954,0.296392861,0.813513996,1
0.482591242,0.241869775,0.169513828,0.911300687,1
0.304700145,0.947175704,0.053718239,0.29156165,1
0.4968444,0.634080158,0.108128858,0.336178441,1
0.497019467,0.210503816,0.063234803,0.361942344,1
0.726642727,0.710587684,0.39078513,0.913518464,1
0.501585576,0.20661499,0.078129229,0.178339885,1
0.136428448,0.947257433,0.068650294,0.289321726,1
0.129379474,0.473988164,0.067863362,0.197797864,1
0.495972545,0.572887855,0.0098251,0.170791785,1
0.305522525,0.210503816,0.132851249,0.968545901,1
0.525825255,0.694252826,0.048696808,0.414125139,1
0.556410928,0.702418439,0.067061159,0.785134174,1
0.511450929,0.106409152,0.041067462,0.196933453,1
0.720340551,0.717211073,0.343885965,0.847311156,1
0.496942053,0.711949574,0.067039055,0.223895102,1
0.302233004,0.628751253,0.126033682,0.897920387,1
0.301410623,0.205967111,0.128091623,0.833158043,1
0.487069789,0.100369727,0.199221832,0.897920387,1
0.594353085,0.701397538,0.149329441,0.703552529,1
0.496836165,0.807029688,0.145688718,0.173790031,1
0.501571908,0.103567069,0.014047138,0.383208997,1
0.70733342,0.109961755,0.091241187,0.78121655,1
0.303055384,0.216666485,0.363314628,0.841180901,1
0.903279901,0.473890447,0.016895048,0.39178053,1
0.394298948,0.823430811,0.04807949,0.716675367,1
0.388131095,0.635145939,0.162269545,0.897920387,1
0.966758332,0.209207247,0.138859535,0.224233115,1
0.415310777,0.459672876,0.313557039,0.815449518,1
0.381082121,0.474072728,0.069892272,0.196625048,1
0.474851567,0.103567069,0.146776214,0.897920387,1
0.488949515,0.464671671,0.128200006,0.786332512,1
0.299354672,0.4784264,0.065318654,0.75337399,1
0.557858138,0.947147983,0.043730508,0.349087793,1
0.839793382,0.895004953,0.077704653,0.696077172,1
0.313746327,0,0.064275498,0.156034898,1
0.502116377,0.471535633,0.069558943,0.384307658,1
0.496493822,0.635165936,0.15510083,0.81149666,1
0.525777901,0.20272882,0.055671711,0.413997671,1
0.300588243,0.688131033,0.256371472,0.832788495,1
0.156943599,0.34902675,0.088175667,0.953421456,1
0.492708968,0.473957916,0.077878107,0.383899124,1
0.55763548,0.103567069,0.272010562,0.841199743,1
0.027062236,0.107830194,0.097838545,0.288507629,1
0.40081668,0.207910972,0.161060998,0.907126756,1
0.525280453,0.204671572,0.400702444,0.782619445,1
0.72476789,0.697314502,0.230363661,0.72593794,1
0.320682565,0.774699892,0.142649226,0.801802894,1
0.567881696,0.109961755,0.071223732,0.841629716,1
0.299354672,0.701397538,0.189904362,0.833207003,1
0.135018653,0.947381869,0.186632044,0.286270105,1
0.336660139,0.473957916,0.064443871,0.322711319,1
0.212781055,0.467308459,0.057027549,0.75343257,1
0.390774461,0,0.063857513,0.291154269,1
0.496974702,0.208559073,0.053869791,0.362903829,1
0.49646842,0.602004857,0.262887625,0.926889102,1
0.665210049,0.692211997,0.212341343,0.840720139,1
0.969541884,0.724671539,0.268034291,0.768103078,1
0.659183411,0.689151187,0.178114206,0.943971276,1
0.472031978,0.634487988,0.182807766,0.955530541,1
0.497019467,0.109251234,0.058519171,0.286880152,1
0.477671157,0.837745615,0.1842073,1,1
0.966979514,0.631948596,0.152897122,0.286066787,1
0.667193028,0.100369727,0.214568082,0.872470661,1
0.467332662,0.948816941,0.063473071,0.288100669,1
0.398512939,0,0.059009359,0.492964747,1
0.656954003,0.590337056,0.094397278,0.372346769,1
0.491769104,0.100369727,0.195406195,0.897920387,1
0.543838222,0.947305409,0.072971498,0.161385106,1
0.136428448,0.209207247,0.169855811,0.974615691,1
0.479550883,0.210503816,0.141905383,0.963538977,1
0.306344905,0.207910972,0.044144101,0.822437735,1
0.131494167,0.637277501,0.114096629,0.897920387,1
0.213162874,0.692211997,0.18973799,0.840901526,1
0.966102343,0.107830194,0.038595844,0.323938463,1
0.966814732,0.476833864,0.062385434,0.163349214,1
0.562980331,0.570248902,0.080367713,0.143469012,1
0.646802472,0.421249814,0.122891661,0.943134806,1
0.57534862,0.64168954,0.285657219,0.813533382,1
