Speed_S,Speed_F,Distance,Relative_Direction,Collision
0.425551479,0.673886837,0.61582607,0.970397676,0
0.696763227,0.650964429,0.305401686,0.956937605,0
0.717743832,0.792802272,0.371863534,0.96426593,0
0.827270802,0.778857458,0.265164708,0.985093841,0
0.603374342,0.382471094,0.46887582,0.975379191,0
0.420778216,0.654485245,0.219447442,0.968825482,0
0.198068331,0.562859405,0.866377165,0.980815519,0
0.620228609,0.662158832,0.650792166,0.965218213,0
0.672242232,0.637438797,0.706292233,0.958132442,0
0.187981194,0.379784767,0.443355317,0.97934859,0
0.547568436,0.510124107,0.610075242,0.967123164,0
0.60084467,0.667507441,0.594434683,0.966664095,0
0.308903075,0.685595363,0.760407914,0.960465999,0
0.547416172,0.640111156,0.233192511,0.964625945,0
0.074877165,0.639426676,0.468161874,0.986508359,0
0.790408369,0.748320833,0.450808667,0.973263535,0
0.792955052,0.419375296,0.609829744,0.982919915,0
0.838767413,0.917256977,0.546455302,0.959245804,0
0.429378396,0.556386983,0.663481407,0.980090911,0
0.543762064,0.791017165,0.542432668,0.984238001,0
0.189475062,0.64678484,0.391696327,0.979265168,0
0.54193518,0.638742196,0.378193433,0.964791425,0
0.308714769,0.564517183,0.835239778,0.986001936,0
0.652308879,0.413953407,0.342269061,0.978966866,0
0.303894851,0.561654268,0.818517208,0.965008639,0
0.827076688,0.750833739,0.283446087,0.985009863,0
0.540484215,0.545912416,0.247897906,0.970415461,0
0.165248485,0.415924649,0.875477989,0.986349903,0
0.469751072,0.901600703,0.653316605,0.96876315,0
0.306075828,0.424306912,0.855641774,0.985667059,0
0.372336087,0.902765257,0.669584195,0.989202575,0
0.599922912,0.408534602,0.645901693,0.957930105,0
0.642277032,0.675590988,0.584533073,0.988603342,0
0.069339379,0.657907647,0.526809147,0.986907954,0
0.706073042,0.795523131,0.410868774,0.97202928,0
0.773801103,0.411489928,0.545864722,0.979323537,0
0.551223013,0.782803026,0.349080994,0.967338545,0
0.774353575,0.411489928,0.634245931,0.991119023,0
0.652308879,0.632431561,0.61311491,0.972890959,0
0.194480847,0.565723356,0.860834039,0.968655541,0
0.390651076,0.409027092,0.834066785,0.962190384,0
0.552441304,0.558342412,0.653911282,0.974421801,0
0.093140059,0.344876265,0.930587262,0.985226653,0
0.351352048,0.79291413,0.587853645,0.971923593,0
0.438436719,0.380298127,0.307907609,0.968188725,0
0.601553796,0.639442036,0.59747354,0.962497358,0
0.713716401,0.917256977,0.296589977,0.965885594,0
0.271165386,0.808742074,0.79795266,0.975023661,0
0.42685639,0.886385492,0.588967414,0.993136014,0
0.879384237,0.407549701,0.718982341,0.980967461,0
0.297495549,0.904512832,0.689927327,0.985832112,0
0.302177619,0.523634928,0.69786222,0.973065444,0
0.663457759,0.37707153,0.626744152,0.97549871,0
0.876997531,0.676870588,0.410588339,0.987951944,0
0.185143355,0.647640441,0.639693597,0.97950777,0
0.363834724,0.654485245,0.203979513,0.971009918,0
0.794449716,0.396230943,0.621048926,0.9827582,0
0.592654266,0.422333968,0.598454648,0.972881118,0
0.196349199,0.565723356,0.923651021,0.980372304,0
0.455289791,0.377217965,0.608661044,0.992057154,0
0.184919344,0.38594509,0.65409843,0.979520374,0
0.803560108,0.376580835,0.943941427,0.980818159,0
0.327630995,0.378244686,0.7795338,0.97251325,0
0.398794604,0.900291057,0.622296984,0.956616675,0
0.431197354,0.900436548,0.636018691,0.991693784,0
0.523630623,0.559395822,0.635233215,0.994723101,0
0.186263475,0.38594509,0.612842422,0.979444829,0
0.654524325,0.881865151,0.188422411,0.967056747,0
0.540412863,0.638057715,0.461055117,0.964837624,0
0.474918131,0.698439444,0.60469224,0.976149619,0
0.785734443,0.782013727,0.320556903,0.966448737,0
0.701401414,0.405580213,0.957441786,0.991186414,0
0.522119484,0.804465066,0.699855614,0.986466507,0
0.549700218,0.642849078,0.283588978,0.964557378,0
0.549395669,0.903346588,0.300257133,0.964566508,0
0.661764789,0.636397991,0.551992983,0.973246595,0
0.878588532,0.421840794,0.425991365,0.982324113,0
0.191716205,0.692042817,0.856103532,0.958230019,0
0.416536171,0.386458451,0.545238783,0.968981188,0
0.413891116,0.779961984,0.34752643,0.986502851,0
0.882568415,0.40705729,0.74732765,0.973600988,0
0.445640417,0.54827714,0.577278109,0.976497767,0
0.258503739,0.565874159,0.861018341,0.971959741,0
0.271938085,0.683499763,0.750112916,0.978422746,0
0.304346659,0.386458451,0.470686382,0.973532228,0
0.192015056,0.638742196,0.282355001,0.979123911,0
0.624495616,0.661490347,0.730670906,0.961051396,0
0.777120599,0.41346066,0.386159591,0.970673519,0
0.552745885,0.750205416,0.636695757,0.96652109,0
0.302012447,0.648324921,0.561739876,0.973636759,0
0.596506154,0.796505352,0.427386203,0.988908856,0
0.421308528,0.391078693,0.187362394,0.968806093,0
0.648986512,0.763256108,0.106809628,0.98413626,0
0.858938741,0.666170168,0.315409396,0.993636564,0
0.189699158,0.379271406,0.379621315,0.979252676,0
0.860523435,0.413953407,0.332699177,0.988973714,0
0.654335948,0.411489928,0.562274732,0.979336061,0
0.652308879,0.539520285,0.327897419,0.975987793,0
0.690728807,0.467113493,0.43762137,0.997591469,0
0.762144627,0.906407043,0.394357758,0.969959597,0
0.609232507,0.774441188,0.365001006,0.962768381,0
0.351622794,0.751462125,0.55331996,0.977816608,0
0.893330943,0.398198404,0.578889419,0.98083703,0
0.705379502,0.652300767,0.349995506,0.956486775,0
0.417520859,0.377217965,0.718807545,0.968944949,0
0.862108691,0.450633658,0.40233761,0.963645737,0
0.608730631,0.897237186,0.172698281,0.978891227,0
0.709690737,0.664832975,0.429463954,0.956221506,0
0.762764926,0.755233786,0.482431754,0.990427559,0
0.715729897,0.921470519,0.333885928,0.965734718,0
0.406692011,0.794020932,0.760852701,0.978793549,0
0.186188797,0.393645495,0.394437941,0.979449021,0
0.320996667,0.550527802,0.569377362,0.966777422,0
0.312405949,0.798291668,0.718749149,0.975143225,0
0.304120753,0.648324921,0.487205913,0.973542326,0
0.778303083,0.794337193,0.533651491,0.972280732,0
0.429188929,0.642849078,0.483219852,0.968519926,0
0.409323136,0.410997309,0.915303837,0.960495046,0
0.428431079,0.557740616,0.691111573,0.970349908,0
0.202479358,0.804306707,0.83435703,0.95976648,0
0.495605566,0.767822332,0.508681208,0.963522474,0
0.543290926,0.423813639,0.454141293,0.978303,0
0.708828326,0.662827337,0.507769812,0.95989709,0
0.426554518,0.424306912,0.843417566,0.985651592,0
0.5790773,0.639426676,0.314258724,0.985687693,0
0.533201624,0.556838131,0.621536152,0.995391289,0
0.429492076,0.642849078,0.464664779,0.96850899,0
0.309317356,0.646955961,0.316899183,0.973311101,0
0.072883144,0.639426676,0.521160925,0.986651642,0
0.520837239,0.674863873,0.7203955,0.962964653,0
0.709858459,0.384926593,0.30531626,0.97289424,0
0.144065026,0.773337581,0.583638442,0.979648236,0
0.702917496,0.553380936,0.517967883,0.993458171,0
0.322655015,0.382351568,0.555919701,0.972727454,0
0.30901606,0.646955961,0.331376397,0.973324447,0
0.534054139,0.731504699,0.565217677,0.967145594,0
0.305099701,0.638742196,0.294757712,0.9734986,0
0.235872967,0.681553604,0.338500984,0.963194721,0
0.193359972,0.567080821,0.886530458,0.979976035,0
0.781588832,0.642849078,0.149919797,0.905216038,1
0.708253431,0.411489928,0.49048034,0.956136203,0
0.781472389,0.41346066,0.375371085,0.955717679,0
0.652166787,0.683422165,0.443909876,0.955492636,0
0.715729897,0.658816612,0.562328991,0.95547462,0
0.721341235,0.662158832,0.690562844,0.955251201,0
0.52890039,0.425786877,0.782555145,0.955080953,0
0.42638501,0.803198292,0.684181238,0.955050183,0
0.727532011,0.663495863,0.690982683,0.954981823,0
0.808968591,0.665501561,0.231217657,0.954912804,0
0.81049297,0.65697861,0.248367528,0.954829528,0
0.472115764,0.426280248,0.748980252,0.954271623,0
0.82073346,0.664164409,0.403617002,0.954200641,0
0.822259434,0.649127101,0.420548205,0.954118431,0
0.063591954,0.504215438,0.782267109,0.953966909,0
0.990413473,0.669513502,0.13761732,0.433563669,1
0.648254742,0.638742196,0.182986137,0.922881721,1
0.373923414,0.753347669,0.619772441,0.953621476,0
0.414123354,0.449083356,0.702343445,0.953464824,0
0.408665902,0.468961976,0.621235439,0.953447216,0
0.40796923,0.424800209,0.650953289,0.95337907,0
0.692410755,0.411982572,0.216645211,0.910685636,1
0.521017646,0.919785052,0.310494945,0.95284197,0
0.085371848,0.801298552,0.882051829,0.952840554,0
0.099030115,0.393645495,0.502021909,0.952838657,0
0.599852012,0.412475242,0.48813521,0.952728242,0
0.602688542,0.411489928,0.647581062,0.952407739,0
0.608364945,0.416417523,0.645449265,0.952395916,0
0.601837465,0.408042139,0.674092148,0.952127331,0
0.502704323,0.406564905,0.79020957,0.952110186,0
0.704517501,0.665501561,0.401127213,0.951960169,0
0.193359972,0.795918716,0.733531375,0.951952147,0
0.51094987,0.410012149,0.854062615,0.951651874,0
0.869217177,0.510124107,0.162194383,0.733864356,1
0.613122332,0.408042139,0.69154521,0.951350432,0
0.596082801,0.676870588,0.566398201,0.951326592,0
0.804251603,0.665501561,0.353074625,0.951318383,0
0.189475062,0.563160757,0.846160556,0.951266752,0
0.715298397,0.395575218,0.513380283,0.951251291,0
0.557086493,0.389538613,0.340768983,0.881426234,1
0.291219844,0.424306912,0.608725016,0.951179808,0
0.629619199,0.418882271,0.681486721,0.951118653,0
0.711128271,0.633933601,0.658943244,0.951092599,0
0.713716401,0.409027092,0.529759811,0.951054449,0
0.890709173,0.666170168,0.375532734,0.950896622,0
0.313686749,0.801298552,0.701129935,0.950759295,0
0.313460718,0.802564989,0.716815695,0.950669949,0
0.814413757,0.663495863,0.422163259,0.95066319,0
0.415581223,0.538358371,0.794700526,0.950646351,0
0.721916948,0.384926593,0.707870984,0.950621701,0
0.816084139,0.411982572,0.439422141,0.950571613,0
0.179339042,0.378244686,0.633407013,0.950564424,0
0.302774852,0.408042139,0.945495084,0.950541733,0
0.469758687,0.346288758,0.674624616,0.950540237,0
0.8166652,0.646287909,0.458702604,0.950535408,0
0.182154925,0.381838208,0.649359469,0.950490987,0
0.18227065,0.381838208,0.635008552,0.950487978,0
0.534209142,0.445457903,0.55056242,0.950312986,0
0.823567574,0.664164409,0.464083375,0.950269772,0
0.725515961,0.40705729,0.706662048,0.950145168,0
0.418202592,0.785171475,0.466546778,0.950078922,0
0.578646334,0.70598724,0.27371753,0.841366856,1
0.295839664,0.76026621,0.765436082,0.949574709,0
0.92452237,0.649461149,0.388334482,0.949554984,0
0.89554245,0.402134623,0.673221041,0.949154531,0
