Speed_S,Speed_F,Distance,Relative_Direction,Collision
0.397334436,0.817534686,0.074102654,0.285720391,1
0.376940473,0.97936409,0.075529138,0.252505998,1
0.485285938,0.961119493,0.077572069,0.197924897,1
0.386442627,0.817988405,0.081692515,0.309899203,1
0.507439501,0.817508663,0.084932906,0.238510413,1
0.723812847,0.267264165,0.086340042,0.084036412,1
0.386442627,0.837062415,0.088472793,0.309817852,1
0.431649304,0.590884245,0.092136021,0.211093679,1
0.703017805,0.225168317,0.092794224,0.253848753,1
0.51536048,0.999320446,0.093432368,0.242382373,1
0.607870171,0.999095184,0.093578867,0.239605415,1
0.591323738,0.531340583,0.094408815,0.248928395,1
0.393161645,0.817543493,0.095251736,0.275278034,1
0.431649304,0.553897935,0.101011259,0.251611167,1
0.494175608,0.67505251,0.101118107,0.271098156,1
0.186672044,0.713815632,0.101548651,0.158165526,1
0.769751464,0.38910322,0.101804089,0.030883383,1
0.981378199,0.716005736,0.101869851,0.195053111,1
0.553580814,0.961631884,0.101972574,0.264535161,0
0.587119024,0.817926971,0.102226311,0.243345379,1
0.386442627,0.961133842,0.103080744,0.250940228,1
0.898711533,0.996746092,0.104369866,0.168721822,1
0.722764865,0.38910322,0.104847222,0.131677274,1
0.915753099,0.96172187,0.1060812,0.231017322,1
0.280540572,0.961162861,0.107387613,0.197493593,0
0.493636432,0.838043495,0.10839242,0.276252905,1
0.516879018,0.387710967,0.109022387,0.293181813,1
0.432921715,0.584793327,0.109673615,0.373899659,1
0.981365089,0.55217831,0.109779529,0.195124802,1
0.393700054,0.961133842,0.109911403,0.275265347,0
0.609195916,0.674807008,0.110197535,0.229544333,1
0.769216149,0.225168317,0.110718238,0.031668916,1
0.898880566,0.960942732,0.111568554,0.218523766,1
0.280845999,0.999410727,0.113692595,0.172017328,0
0.517275177,0.715628214,0.116346761,0.23486864,1
0.517143123,0.67505251,0.116634681,0.293171351,1
0.486779134,0.674418037,0.116978676,0.194792858,1
0.742581296,0.225168317,0.117252758,0.078843948,0
0.418473477,0.961133842,0.117708121,0.247003708,0
0.609461074,0.687216963,0.118174425,0.229620839,1
0.395113399,0.961207195,0.118715284,0.274114235,1
0.981351991,0.716005736,0.119079237,0.195196499,1
0.516812992,0.998960329,0.119486312,0.192506871,0
0.895082097,0.996484619,0.119612136,0.177161782,1
0.616687635,0.45173845,0.119770855,0.716866172,1
0.291341225,0.961148298,0.12098469,0.17084954,0
0.479686455,0.972891247,0.121986073,0.174165413,0
0.5222278,0.220009441,0.122137959,0.88015307,1
0.431194278,0.38910322,0.122217046,0.294787595,0
0.494815885,0.674418037,0.122380983,0.217036123,1
0.270156075,0.54976275,0.122540542,0.731197498,0
0.980767825,0.582903308,0.12266395,0.239047713,0
0.900672321,0.817552365,0.12273555,0.183197562,1
0.700087534,0.611266649,0.124443843,0.828611325,1
0.833975842,0.724711339,0.12448131,0.889688458,1
0.869974205,0.575764392,0.124618025,0.926712124,1
0.458835715,0.817795594,0.124866116,0.326586403,1
0.494916982,0.387710967,0.125023079,0.27108368,1
0.418670474,0.674891791,0.125587167,0.236809382,0
0.491258721,0.961207195,0.125863128,0.249822357,1
0.699092288,0.961192309,0.126331628,0.197691251,1
0.280540572,0.973324008,0.126652816,0.197924897,0
0.587928619,0.82917865,0.126829761,0.18733761,0
0.899725732,0.960929887,0.127411303,0.2445438,1
0.980906932,0.591514415,0.127480196,0.238076985,1
0.550609784,0.961035656,0.127750382,0.133472303,0
0.981299709,0.72294498,0.128391929,0.213598566,1
0.494950681,0.71121719,0.130342876,0.217119507,1
0.495422468,0.67505251,0.130548706,0.27107382,0
0.497714043,0.719474344,0.13063889,0.210465636,0
0.662616508,0.207896213,0.130807207,0.891208821,1
0.431531465,0.424311177,0.13163677,0.301106596,0
0.372868121,0.324181583,0.132399225,0.704819605,0
0.975877439,0.551318497,0.132737415,0.327038387,1
0.553920878,0.960981912,0.132765833,0.221361476,1
0.556648666,0.817426201,0.132825884,0.262610473,1
0.616952867,0.477123439,0.13327601,0.707631455,1
0.486779134,0.674006253,0.133722122,0.188791929,0
0.291139714,0.973271171,0.13377368,0.19722068,0
0.580735624,0.817911905,0.13401008,0.140404007,0
0.550226494,0.998111501,0.13407581,0.083485893,0
0.807806706,0.998803283,0.134291752,0.165456123,1
0.387121352,0.961207195,0.134547286,0.196523848,1
0.70315844,0.676046913,0.135447426,0.331005507,1
0.981299709,0.594035231,0.136356873,0.239463771,1
0.899894765,0.972059783,0.136737593,0.218946312,0
0.62053698,0.220009441,0.136796945,0.83774818,1
0.981286666,0.743570369,0.137056378,0.230435774,1
0.387121352,0.674018978,0.138633472,0.219553865,0
0.418407811,0.96072795,0.138635932,0.3066471,1
0.588141743,0.424311177,0.13918232,0.16933867,0
0.896609229,0.972930293,0.139668258,0.149734048,0
0.518595761,0.530882651,0.139796405,0.293113902,0
0.798919751,0.590674192,0.13997324,0.88379408,1
0.491258721,0.961207195,0.140240599,0.249822357,1
0.580735624,0.719421295,0.140582579,0.130188026,0
0.576658651,0.960981912,0.14083005,0.242380242,1
0.590509268,0.974755499,0.140846394,0.199147938,0
0.418013824,0.960942732,0.140871929,0.249943433,1
0.290736695,0.961133842,0.140896006,0.171263413,0
0.800204161,0.996877169,0.140964636,0.123635356,1
0.731546621,0.524149207,0.141759263,0.196821003,0
0.583993505,0.58647345,0.141831383,0.887017878,1
0.974965342,0.389855556,0.14264954,0.246025178,1
0.98083721,0.911037339,0.143798815,0.235469568,1
0.858230922,0.592354662,0.144117236,0.179117384,1
0.372868121,0.563496841,0.144158372,0.68049221,0
0.438515144,0.827893971,0.144448284,0.824882196,1
0.605673824,0.267883386,0.144456374,0.850685635,0
0.484134039,0.578913688,0.144551139,0.861123011,1
0.900063799,0.960923504,0.144746961,0.244724493,0
0.981549639,0.551318497,0.144811139,0.194121611,1
0.993592869,0.268502638,0.144911535,0.189332361,1
