Speed_S,Speed_F,Distance,Relative_deirection,Collision
0.157361492,0.115091395,0.12738638,0.191738584,1
0.666127835,0.09462308,0.297142238,0.776775869,1
0.213256388,0.484199021,0.310984957,0.834548725,1
0.138203858,0.089629439,0.172333784,0.897920387,1
0.736010348,0.487615326,0.152327147,0.727293852,1
0.726867742,0.493083386,0.361734157,0.905202226,1
0.633649601,0.109647365,0.207145668,0.910211528,1
0.307770985,0.088678269,0.066045491,0.897920387,1
0.395544204,0.149684087,0.094630994,0.832627058,1
0.387061065,0.086300345,0.276116447,0.832800881,1
0.263645366,0.086775929,0.141619591,0.285660202,1
0.572328524,0.086775929,0.125592479,0.841777759,1
0.393074854,0.334669787,0.107353843,0.264497214,1
0.529470393,0.482832767,0.240981156,0.782848438,1
0.12976248,0.157919773,0.120217049,0.834630756,1
0.49268403,0.334676239,0.083772721,0.435761167,1
0.499453359,0.651410875,0.146504848,0.197432306,1
0.570493585,0.435096215,0.215843774,0.841701521,1
0.304488227,0.086300345,0.361009043,0.897920387,1
0.498042241,0.439733167,0.11962678,0.287083533,1
0.309412365,0.435452903,0.190435223,0.897920387,1
0.497903336,0.612853098,0.165595185,0.400257161,1
0.555878827,0.334669787,0.104024822,0.256488387,1
0.474055354,0.434026149,0.190714646,0.897920387,1
0.306129606,0.155750751,0.313346795,0.833462842,1
0.511981253,0.439733167,0.111704263,0.198663563,1
0.575665426,0.446966617,0.291507859,0.813513996,1
0.483654978,0.179348438,0.185948916,0.911300687,1
0.306129606,0.651442879,0.089611014,0.29156165,1
0.497878834,0.441873299,0.134878756,0.336178441,1
0.498053541,0.158353725,0.097528464,0.361942344,1
0.72720472,0.493083386,0.370038943,0.913518464,1
0.502610262,0.155750751,0.109920108,0.178339885,1
0.138203858,0.651497584,0.102033965,0.289321726,1
0.131169376,0.334716196,0.101379265,0.197797864,1
0.497008771,0.400914412,0.053093449,0.170791785,1
0.306950296,0.158353725,0.155446926,0.968545901,1
0.526800107,0.482149697,0.085433358,0.414125139,1
0.5573229,0.487615326,0.10071186,0.785134174,1
0.512455334,0.088678269,0.079086007,0.196933453,1
0.720915501,0.497516732,0.331020469,0.847311156,1
0.497976286,0.493994963,0.10069347,0.223895102,1
0.303667538,0.438306413,0.149774948,0.897920387,1
0.302846848,0.155317095,0.151487082,0.833158043,1
0.488124318,0.084635798,0.210664942,0.897920387,1
0.595187051,0.486931989,0.169156208,0.703552529,1
0.497870615,0.557636557,0.166127254,0.173790031,1
