x,y
1492,808
1488,808
1484,808
1482,806
1478,806
1474,804
1472,802
1468,800
1464,798
1462,798
1458,798
1454,796
1450,796
1446,796
1442,796
1438,794
1436,794
1432,794
1428,794
1424,792
1422,792
1420,792
1416,792
1412,790
1408,790
1404,790
1402,790
1398,790
1394,790
1392,790
1388,790
1384,792
1382,792
1378,792
1374,792
1372,792
1368,790
1364,790
1360,790
1358,792
1354,792
1350,792
1346,794
1344,794
1340,796
1336,796
1332,796
1326,796
1324,796
1318,796
1314,796
1310,796
1306,798
1302,800
1298,800
1294,802
1288,802
1284,802
1278,802
1274,802
1270,800
1266,800
1262,802
1258,802
1254,802
1250,804
1246,804
1242,806
1238,806
1232,806
1228,808
1224,808
1220,806
1214,806
1210,804
1206,804
1202,802
1198,802
1194,802
1190,802
1186,804
1182,804
1178,806
1174,806
1170,806
1166,808
1162,808
1158,808
1154,808
1150,808
1146,808
1142,810
1138,810
1134,810
1130,810
1126,812
1122,812
1118,810
1113,810
1110,810
1106,810
1102,810
1098,810
1094,810
1090,810
1086,810
1082,810
1078,810
1074,810
1070,810
1066,810
1062,810
1058,810
1054,810
1052,810
1046,810
1042,808
1038,808
1036,806
1032,806
1028,806
1024,804
1020,806
1016,804
1012,804
1008,804
1004,804
1002,804
998,806
994,806
990,806
988,806
982,808
980,808
976,808
972,808
968,810
964,810
960,810
956,810
952,810
948,810
946,810
942,810
938,812
934,812
932,814
928,814
924,814
920,814
916,814
912,814
910,814
906,814
902,814
898,812
894,812
890,810
886,810
884,810
880,808
876,806
872,806
868,804
864,804
862,802
858,800
854,800
850,798
846,798
842,796
838,796
834,794
830,794
824,792
822,790
818,790
814,788
812,786
808,784
806,782
802,778
800,776
798,774
794,772
790,770
786,768
782,766
780,766
776,764
774,762
770,760
768,758
764,756
760,754
756,752
754,750
752,748
750,746
746,744
744,742
740,740
736,738
734,736
730,736
726,734
722,734
718,734
716,732
712,730
708,730
706,726
702,724
698,722
694,720
690,718
688,718
684,716
680,714
676,712
672,712
666,710
662,710
658,708
654,706
650,704
648,702
642,702
640,700
636,700
632,698
628,698
624,698
618,698
614,698
610,698
606,698
600,698
596,698
592,698
588,698
584,698
578,698
574,696
570,696
566,696
562,694
556,694
552,694
548,692
544,692
540,692
536,692
532,692
528,692
524,690
520,690
514,690
510,690
506,692
500,692
496,692
492,694
488,694
482,694
478,696
474,698
468,698
464,700
460,700
454,702
450,702
446,704
440,706
436,706
430,708
427,710
422,712
416,714
412,714
408,716
404,718
400,720
394,722
390,724
386,726
382,728
376,732
372,732
366,732
362,734
356,734
352,736
346,738
342,738
336,740
332,740
326,742
320,744
316,744
310,746
304,746
300,750
294,750
288,752
286,754
280,758
274,759
270,762
264,764
259,767
254,770
250,772
244,774
238,776
232,778
226,778
222,780
218,782
210,786
206,786
200,788
194,790
190,792
184,794
178,796
174,800
168,802
164,806
158,808
152,810
146,812
142,816
134,818
130,820
122,824
116,826
110,828
102,832
96,834
92,836
84,840
78,842
72,846
66,848
60,850
52,854
46,856
40,860
34,862
31,864
31,866
31,872
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,880
31,840
34,844
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
34,846
31,814
31,813
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
31,810
32,810
34,810
34,810
35,810
36,810
37,810
38,810
38,810
40,810
40,810
40,810
41,810
42,810
42,808
42,808
42,808
42,808
42,808
42,808
42,808
42,809
40,808
40,809
40,810
40,809
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,810
40,811
40,810
40,810
41,811
41,810
41,810
40,810
40,810
40,810
38,811
38,812
36,812
36,813
34,814
34,814
33,814
32,816
32,814
31,816
31,816
31,816
31,816
31,816
31,816
31,814
31,814
31,814
31,814
31,814
31,814
31,814
31,812
31,812
32,812
32,812
33,810
34,810
34,810
34,810
34,810
35,810
36,810
36,810
36,810
36,810
36,810
36,810
38,810
38,810
38,810
38,810
38,810
38,810
38,810
39,810
40,810
40,810
40,810
40,810
40,810
40,810
42,810
42,810
42,810
42,810
42,810
42,810
43,810
44,810
44,810
44,810
46,810
46,810
46,810
48,810
48,810
48,810
49,810
50,810
51,810
52,810
52,810
54,810
54,810
54,812
56,812
56,812
57,812
58,812
60,812
62,812
64,814
66,814
66,814
68,814
70,814
72,814
74,814
76,814
76,816
78,816
79,816
80,818
82,818
84,818
87,816
90,816
94,816
97,814
100,814
104,814
108,812
111,812
114,812
118,812
120,812
124,812
126,812
130,810
132,810
136,810
139,810
142,810
144,810
148,810
150,812
154,812
154,814
158,814
160,814
164,816
166,816
170,814
173,814
176,814
180,814
184,814
188,814
190,814
194,814
198,814
200,814
202,814
206,812
210,812
213,812
218,810
220,810
224,808
228,808
230,806
234,806
238,806
240,806
244,804
248,804
252,802
256,802
260,802
264,800
268,800
270,800
274,800
278,800
280,800
284,800
286,800
289,800
293,800
296,800
300,799
304,800
308,800
312,800
316,800
322,800
326,800
330,802
332,803
338,804
340,805
344,806
348,806
352,806
354,806
360,807
364,807
367,807
372,807
376,806
380,806
384,806
390,806
392,806
397,806
402,806
406,806
409,806
414,808
416,808
422,808
426,808
430,808
434,808
438,808
444,808
448,808
452,807
456,806
460,806
466,806
470,806
474,806
478,806
482,806
486,808
490,808
494,808
500,808
504,808
508,808
512,808
516,808
522,808
526,810
530,810
534,810
540,812
544,812
548,814
550,814
556,814
559,816
564,816
567,816
574,818
577,818
582,820
585,820
590,822
594,824
596,826
600,826
602,828
607,830
612,832
616,834
620,834
624,836
628,836
634,836
640,836
646,838
650,838
654,840
660,840
666,840
670,842
676,842
682,844
688,844
694,844
698,846
704,846
710,846
716,848
720,848
726,850
732,850
736,850
742,852
748,852
752,852
759,854
764,854
770,854
774,854
780,856
786,856
794,856
798,856
802,856
808,856
812,856
818,856
824,856
830,856
834,856
840,858
846,858
852,858
857,858
862,858
868,858
874,858
880,858
886,858
892,858
898,858
904,856
910,856
916,854
922,854
928,852
934,852
940,850
946,850
951,848
956,846
962,846
968,846
973,844
978,844
